number,name,form,classification,type-1,type-2,ability-1,ability-2,ability-hidden,predecessors,successors,Red,Green,Blue,Yellow,Gold,Silver,Crystal,Ruby,Sapphire,Fire Red,Leaf Green,Emerald,Colosseum,XD,Diamond,Pearl,Platinum,Heart Gold,Soul Silver,Black,White,Black 2,White 2,X,Y,Omega Ruby,Alpha Sapphire,Sun,Moon,Ultra Sun,Ultra Moon,Let's Go Pikachu!,Let's Go Eevee!,Sword,Shield,Brilliant Diamond,Shining Pearl,Legends Arceus,Scarlet,Violet
64,Kadabra,,,Psychic,,Synchronize,Inner Focus,Magic Guard,63,65,C,C,C,C,C,C,C,E,E,C,C,E,T,T,C,C,C,C,C,DW,E,B,B,E,E,E,E,C,C,E,E,C,C,CD,CD,C,C,C,—,—
65,Alakazam,,,Psychic,,Synchronize,Inner Focus,Magic Guard,64,,ET,ET,ET,ET,ET,ET,ET,ET,ET,ET,ET,ET,T,T,ET,ET,ET,ET,ET,DWET,ET,R,R,ET,ET,ET,ET,ET,ET,ET,ET,ET,ET,CD,CD,ET,ET,C,—,—
66,Machop,,,Fighting,,Guts,No Guard,Steadfast,,67,C,C,C,C,C,C,C,C,C,C,C,C,T,T,C,C,C,C,C,DW,C,DW,DW,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,—,—
67,Machoke,,,Fighting,,Guts,No Guard,Steadfast,66,68,C,C,C,C,C,C,C,E,E,C,C,E,T,T,C,C,C,C,C,DWE,E,DWE,DWE,E,E,E,E,C,C,C,C,C,C,C,C,C,C,C,—,—
68,Machamp,,,Fighting,,Guts,No Guard,Steadfast,67,,ET,ET,ET,R,ET,ET,ET,ET,ET,ET,ET,ET,T,T,ET,ET,ET,ET,ET,DWET,ET,DWET,DWET,ET,ET,ET,ET,ET,ET,ET,ET,ET,ET,C,C,ET,ET,C,—,—
69,Bellsprout,,,Grass,Poison,Chlorophyll,,Gluttony,,70,T,C,T,C,C,C,C,Ev,Ev,Ev,C,Ev,T,T,C,C,C,C,C,DW,C,DW,DW,C,C,T,T,S,S,T,T,T,C,—,—,C,C,—,CD,CD
70,Weepinbell,,,Grass,Poison,Chlorophyll,,Gluttony,69,71,T,C,T,C,C,C,C,EvE,EvE,EvE,C,EvE,T,S,C,C,C,C,C,DWE,E,DWE,DWE,C,C,T,T,E,E,T,T,T,C,—,—,C,C,—,CD,CD
71,Victreebel,,,Grass,Poison,Chlorophyll,,Gluttony,70,,T,E,T,E,E,E,E,EvE,EvE,EvE,E,EvE,T,E,E,E,E,E,E,DWE,E,DWE,DWE,E,E,T,T,E,E,T,T,T,C,—,—,E,E,—,CD,CD
72,Tentacool,,,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,,73,C,C,C,C,C,C,C,C,C,C,C,C,T,T,C,C,C,C,C,DW,DW,DW,DW,C,C,C,C,C,C,C,C,C,C,CD,CD,C,C,C,CD,CD
73,Tentacruel,,,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,72,,E,E,E,C,C,C,C,C,C,C,C,C,T,T,C,C,C,C,C,DWE,DWE,DWE,DWE,E,E,C,C,C,C,C,C,C,C,CD,CD,C,C,C,CD,CD
74a,Geodude,Normal,,Rock,Ground,Rock Head,Sturdy,Sand Veil,,75a,C,C,C,C,C,C,C,C,C,C,C,C,T,T,C,C,C,C,C,B,B,DW,DW,C,C,C,C,T,T,T,T,C,C,—,—,C,C,C,CD,CD
74b,Geodude,Alolan,,Rock,Electric,Magnet Pull,Sturdy,Galvanize,,75b,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,B,B,R,R,—,—,—,—,—,CD,CD
75a,Graveler,Normal,,Rock,Ground,Rock Head,Sturdy,Sand Veil,74a,76a,C,C,C,C,C,C,C,C,C,C,C,C,T,T,C,C,C,C,C,C,C,DWE,DWE,C,C,C,C,T,T,T,T,C,C,—,—,C,C,C,CD,CD
75b,Graveler,Alolan,,Rock,Electric,Magnet Pull,Sturdy,Galvanize,74b,76b,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,E,E,—,—,—,—,—,CD,CD
76a,Golem,Normal,,Rock,Ground,Rock Head,Sturdy,Sand Veil,75a,,ET,ET,R,ET,ET,ET,ET,ET,ET,ET,ET,ET,T,T,ET,ET,ET,ET,ET,ET,ET,DWET,DWET,ET,ET,ET,ET,T,T,T,T,ET,ET,—,—,ET,ET,C,CD,CD
76b,Golem,Alolan,,Rock,Electric,Magnet Pull,Sturdy,Galvanize,75b,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,R,R,ET,ET,ET,ET,—,—,—,—,—,CD,CD
77a,Ponyta,Normal,,Fire,,Run Away,Flash Fire,Flame Body,,78a,C,C,C,C,C,C,C,T,T,C,C,T,T,T,C,C,C,C,C,B,B,DW,DW,FS,FS,C,C,T,T,T,T,C,C,T,RD,C,C,C,—,—
77b,Ponyta,Galarian,,Psychic,,Run Away,Pastel Veil,Anticipation,,78b,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,T,C,—,—,—,—,—
78a,Rapidash,Normal,,Fire,,Run Away,Flash Fire,Flame Body,77a,,E,E,C,E,C,C,C,T,T,C,C,T,T,S,E,E,E,C,C,C,C,DWE,DWE,FSE,FSE,E,E,T,T,T,T,C,C,T,ED,E,E,C,—,—
78b,Rapidash,Galarian,,Psychic,Fairy,Run Away,Pastel Veil,Anticipation,77b,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,T,D,—,—,—,—,—
79a,Slowpoke,Normal,,Water,Psychic,Oblivious,Own Tempo,Regenerator,,80a,C,C,C,C,C,C,C,Ev,Ev,Ev,C,Ev,T,T,T,C,C,C,C,C,C,S,S,C,C,C,C,C,C,C,C,C,C,RD,RD,T,C,—,C,C
79b,Slowpoke,Galarian,,Psychic,,Gluttony,Own Tempo,Regenerator,,80b,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,—,—,—,CD,CD
80a,Slowbro,Normal,,Water,Psychic,Oblivious,Own Tempo,Regenerator,79a,199a,C,C,C,C,C,C,C,EvE,EvE,EvE,C,EvE,T,T,T,E,E,C,C,C,C,E,E,E,E,E,E,C,C,C,C,C,C,DA,DA,T,E,—,C,C
80b,Slowbro,Galarian,,Poison,Psychic,Quick Draw,Own Tempo,Regenerator,79b,199b,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,ED,ED,—,—,—,CD,CD
81,Magnemite,,,Electric,Steel,Magnet Pull,Sturdy,Analytic,,82,C,C,C,C,C,C,C,C,C,C,C,C,T,T,S,S,C,C,C,DW,C,C,C,B,B,C,C,C,C,C,C,C,C,CD,CD,C,C,C,C,C
82,Magneton,,,Electric,Steel,Magnet Pull,Sturdy,Analytic,81,462,C,C,C,C,E,E,R,C,C,C,C,C,T,S,E,E,C,C,C,DWE,E,C,C,C,C,E,E,E,E,E,E,C,C,CD,CD,E,E,C,C,C
83a,Farfetch'd,Normal,,Normal,Flying,Keen Eye,Inner Focus,Defiant,,,R,R,R,C,C,C,C,T,T,R,R,T,T,S,S,S,S,C,C,S,S,S,S,C,C,T,T,T,T,T,T,C,C,RD,T,C,C,—,—,—
83b,Farfetch'd,Galarian,,Fighting,,Steadfast,,Scrappy,,865,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,T,—,—,—,—,—
84,Doduo,,,Normal,Flying,Run Away,Early Bird,Tangled Feet,,85,C,C,C,C,C,C,C,C,C,C,C,C,T,T,S,S,S,C,C,S,S,S,S,C,C,C,C,T,T,T,T,C,C,—,—,C,C,—,CD,CD
