number,name,form-name,form-type,type-1,type-2,ability-1,ability-2,ability-hidden,predecessors,successors
131,Lapras,,,Water,Ice,Water Absorb,Shell Armor,Hydration,,
132,Ditto,,,Normal,,Limber,,Imposter,,
133,Eevee,,,Normal,,Run Away,Adaptability,Anticipation,,"134,135,136,196,197,470,471,700"
134,Vaporeon,,,Water,,Water Absorb,,Hydration,133,
135,Jolteon,,,Electric,,Volt Absorb,,Quick Feet,133,
136,Flareon,,,Fire,,Flash Fire,,Guts,133,
137,Porygon,,,Normal,,Trace,Download,Analytic,,233
138,Omanyte,,,Rock,Water,Swift Swim,Shell Armor,Weak Armor,,139
139,Omastar,,,Rock,Water,Swift Swim,Shell Armor,Weak Armor,138,
140,Kabuto,,,Rock,Water,Swift Swim,Battle Armor,Weak Armor,,141
141,Kabutops,,,Rock,Water,Swift Swim,Battle Armor,Weak Armor,140,
142,Aerodactyl,,,Rock,Flying,Rock Head,Pressure,Unnerve,,
143,Snorlax,,,Normal,,Immunity,Thick Fat,Gluttony,446,
144,Articuno,,,Ice,Flying,Pressure,,Snow Cloak,,
145,Zapdos,,,Electric,Flying,Pressure,,Static,,
146,Moltres,,,Fire,Flying,Pressure,,Flame Body,,
147,Dratini,,,Dragon,,Shed Skin,,Marvel Scale,,148
148,Dragonair,,,Dragon,,Shed Skin,,Marvel Scale,147,149
149,Dragonite,,,Dragon,Flying,Inner Focus,,Multiscale,148,
150,Mewtwo,,,Psychic,,Pressure,,Unnerve,,
151,Mew,,,Psychic,,Synchronize,,,,
169,Crobat,,,Poison,Flying,Inner Focus,,Infiltrator,42,
172,Pichu,,,Electric,,Static,,Lightning Rod,,25
173,Cleffa,,,Fairy,,Cute Charm,Magic Guard,Friend Guard,,35
174,Igglybuff,,,Normal,Fairy,Cute Charm,Competitive,Friend Guard,,39
182,Bellossom,,,Grass,,Chlorophyll,,Healer,44,
186,Politoed,,,Water,,Water Absorb,Damp,Drizzle,61,
196,Espeon,,,Psychic,,Synchronize,,Magic Bounce,133,
197,Umbreon,,,Dark,,Synchronize,,Inner Focus,133,
199,Slowking,,,Water,Psychic,Oblivious,Own Tempo,Regenerator,80,
208,Steelix,,,Steel,Ground,Rock Head,Sturdy,Sheer Force,95,
212,Scizor,,,Bug,Steel,Swarm,Technician,Light Metal,123,
230,Kingdra,,,Water,Dragon,Swift Swim,Sniper,Damp,117,
233,Porygon2,,,Normal,,Trace,Download,Analytic,137,474
236,Tyrogue,,,Fighting,,Guts,Steadfast,Vital Spirit,,"106,107,237"
237,Hitmontop,,,Fighting,,Intimidate,Technician,Steadfast,236,
238,Smoochum,,,Ice,Psychic,Oblivious,Forewarn,Hydration,,124
239,Elekid,,,Electric,,Static,,Vital Spirit,,125
240,Magby,,,Fire,,Flame Body,,Vital Spirit,,126
242,Blissey,,,Normal,,Natural Cure,Serene Grace,Healer,113,
290,Nincada,,,Bug,Ground,Compound Eyes,,Run Away,,"291,292"
291,Ninjask,,,Bug,Flying,Speed Boost,,Infiltrator,290,
292,Shedinja,,,Bug,Ghost,Wonder Guard,,,290,
439,Mime Jr.,,,Psychic,Fairy,Soundproof,Filter,Technician,,"122,122a"
440,Happiny,,,Normal,,Natural Cure,Serene Grace,Friend Guard,,113
446,Munchlax,,,Normal,,Pickup,Thick Fat,Gluttony,,143
462,Magnezone,,,Electric,Steel,Magnet Pull,Sturdy,Analytic,82,
463,Lickilicky,,,Normal,,Own Tempo,Oblivious,Cloud Nine,108,
464,Rhyperior,,,Ground,Rock,Lightning Rod,Solid Rock,Reckless,112,
465,Tangrowth,,,Grass,,Chlorophyll,Leaf Guard,Regenerator,114,
466,Electivire,,,Electric,,Motor Drive,,Vital Spirit,125,
467,Magmortar,,,Fire,,Flame Body,,Vital Spirit,126,
470,Leafeon,,,Grass,,Leaf Guard,,Chlorophyll,133,
471,Glaceon,,,Ice,,Snow Cloak,,Ice Body,133,
474,PorygonZ,,,Normal,,Adaptability,Download,Analytic,233,
700,Sylveon,,,Fairy,,Cute Charm,,Pixilate,133,
19a,Rattata,Alolan Form,Regional,Dark,Normal,Gluttony,Hustle,Thick Fat,,20a
20a,Raticate,Alolan Form,Regional,Dark,Normal,Gluttony,Hustle,Thick Fat,19a,
27a,Sandshrew,Alolan Form,Regional,Ice,Steel,Snow Cloak,,Slush Rush,,28a
28a,Sandslash,Alolan Form,Regional,Ice,Steel,Snow Cloak,,Slush Rush,27a,
37a,Vulpix,Alolan Form,Regional,Ice,,Snow Cloak,,Snow Warning,,38a
38a,Ninetales,Alolan Form,Regional,Ice,Fairy,Snow Cloak,,Snow Warning,37a,
50a,Diglett,Alolan Form,Regional,Ground,Steel,Sand Veil,Tangling Hair,Sand Force,,51a
51a,Dugtrio,Alolan Form,Regional,Ground,Steel,Sand Veil,Tangling Hair,Sand Force,50a,
52a,Meowth,Alolan Form,Regional,Dark,,Pickup,Technician,Rattled,,53a
53a,Persian,Alolan Form,Regional,Dark,,Fur Coat,Technician,Rattled,52a,
74a,Geodude,Alolan Form,Regional,Rock,Electric,Magnet Pull,Sturdy,Galvanize,,75a
75a,Graveler,Alolan Form,Regional,Rock,Electric,Magnet Pull,Sturdy,Galvanize,74a,76a
76a,Golem,Alolan Form,Regional,Rock,Electric,Magnet Pull,Sturdy,Galvanize,75a,
88a,Grimer,Alolan Form,Regional,Poison,Dark,Poison Touch,Gluttony,Power of Alchemy,,89a
89a,Muk,Alolan Form,Regional,Poison,Dark,Poison Touch,Gluttony,Power of Alchemy,88a,
103a,Exeggutor,Alolan Form,Regional,Grass,Dragon,Frisk,Frisk,Harvest,102,
105a,Marowak,Alolan Form,Regional,Fire,Ghost,Cursed Body,Lightning Rod,Rock Head,104,
52b,Meowth,Galarian Form,Regional,Steel,,Pickup,Tough Claws,Unnerve,,
77a,Ponyta,Galarian Form,Regional,Psychic,,Run Away,Pastel Veil,Anticipation,,78a
78a,Rapidash,Galarian Form,Regional,Psychic,Fairy,Run Away,Pastel Veil,Anticipation,77a,
79a,Slowpoke,Galarian Form,Regional,Psychic,,Gluttony,Own Tempo,Regenerator,,80a
80a,Slowbro,Galarian Form,Regional,Poison,Psychic,Quick Draw,Own Tempo,Regenerator,79a,199a
83a,Farfetch'd,Galarian Form,Regional,Fighting,,Steadfast,,Scrappy,,
110a,Weezing,Galarian Form,Regional,Poison,Fairy,Levitate,Neutralizing Gas,Misty Surge,109,
122a,Mr.Mime,Galarian Form,Regional,Ice,Psychic,Vital Spirit,Screen Cleaner,Ice Body,439,
144,Articuno,Galarian Form,Regional,Psychic,Flying,Competitive,,,,
145,Zapdos,Galarian Form,Regional,Fighting,Flying,Defiant,,,,
146,Moltres,Galarian Form,Regional,Dark,Flying,Berserk,,,,
199a,Slowking,Galarian Form,Regional,Poison,Psychic,Curious Medicine,Own Tempo,Regenerator,80a,
58a,Growlithe,Hisuian Form,Regional,Fire,Rock,,,,,59a
59a,Arcanine,Hisuian Form,Regional,Fire,Rock,,,,58a,
100a,Voltorb,Hisuian Form,Regional,Electric,Grass,,,,,101a
101a,Electrode,Hisuian Form,Regional,Electric,Grass,,,,100a,
128,Tauros,Paldean Combat Form,Regional,Fighting,,Intimidate,Anger Point,Cud Chew,,
128,Tauros,Paldean Blaze Form,Regional,Fighting,Fire,Intimidate,Anger Point,Cud Chew,,
128,Tauros,Paldean Aqua Form,Regional,Fighting,Water,Intimidate,Anger Point,Cud Chew,,
